File Name,Average Before Proportion,Std Dev Before,CV Before,Average After Proportion,Std Dev After,CV After
dependency_parsing_response_en_en_1.xml,0.4401,0.0269,6.11%,0.5599,0.0269,4.81%
dependency_parsing_response_en_en_2.xml,0.4957,0.0222,4.48%,0.5043,0.0222,4.40%
dependency_parsing_response_en_en_3.xml,0.4775,0.0232,4.87%,0.5225,0.0232,4.45%
dependency_parsing_response_en_en_4.xml,0.4505,0.0296,6.56%,0.5495,0.0296,5.38%
dependency_parsing_response_en_en_5.xml,0.4531,0.0257,5.67%,0.5469,0.0257,4.70%
dependency_parsing_response_en_en_6.xml,0.4138,0.0339,8.20%,0.5862,0.0339,5.79%
dependency_parsing_response_en_en_7.xml,0.4305,0.0304,7.06%,0.5695,0.0304,5.33%
dependency_parsing_response_en_en_8.xml,0.4406,0.0260,5.89%,0.5594,0.0260,4.64%
dependency_parsing_response_en_en_9.xml,0.4233,0.0296,6.99%,0.5767,0.0296,5.13%
dependency_parsing_response_en_en_10.xml,0.4425,0.0314,7.10%,0.5575,0.0314,5.64%
dependency_parsing_response_en_zh_1.xml,0.5757,0.0391,6.79%,0.4243,0.0391,9.21%
dependency_parsing_response_en_zh_2.xml,0.6333,0.0422,6.66%,0.3667,0.0422,11.50%
dependency_parsing_response_en_zh_3.xml,0.6560,0.0328,4.99%,0.3440,0.0328,9.52%
dependency_parsing_response_en_zh_4.xml,0.6040,0.0361,5.98%,0.3960,0.0361,9.12%
dependency_parsing_response_en_zh_5.xml,0.6247,0.0432,6.91%,0.3753,0.0432,11.50%
dependency_parsing_response_en_zh_6.xml,0.5573,0.0396,7.11%,0.4427,0.0396,8.94%
dependency_parsing_response_en_zh_7.xml,0.6645,0.0407,6.13%,0.3355,0.0407,12.14%
dependency_parsing_response_en_zh_8.xml,0.6281,0.0382,6.08%,0.3719,0.0382,10.27%
dependency_parsing_response_en_zh_9.xml,0.6618,0.0413,6.24%,0.3382,0.0413,12.20%
dependency_parsing_response_en_zh_10.xml,0.6126,0.0377,6.15%,0.3874,0.0377,9.73%
dependency_parsing_response_zh_en_1.xml,0.4177,0.0258,6.18%,0.5823,0.0258,4.43%
dependency_parsing_response_zh_en_2.xml,0.4775,0.0281,5.88%,0.5225,0.0281,5.37%
dependency_parsing_response_zh_en_3.xml,0.4573,0.0250,5.46%,0.5427,0.0250,4.60%
dependency_parsing_response_zh_en_4.xml,0.4196,0.0214,5.10%,0.5804,0.0214,3.69%
dependency_parsing_response_zh_en_5.xml,0.4388,0.0323,7.37%,0.5612,0.0323,5.76%
dependency_parsing_response_zh_en_6.xml,0.4173,0.0341,8.17%,0.5827,0.0341,5.85%
dependency_parsing_response_zh_en_7.xml,0.4404,0.0318,7.22%,0.5596,0.0318,5.68%
dependency_parsing_response_zh_en_8.xml,0.4390,0.0274,6.24%,0.5610,0.0274,4.88%
dependency_parsing_response_zh_en_9.xml,0.4404,0.0317,7.20%,0.5596,0.0317,5.67%
dependency_parsing_response_zh_en_10.xml,0.4559,0.0342,7.50%,0.5441,0.0342,6.28%
dependency_parsing_response_zh_zh_1.xml,0.5952,0.0406,6.82%,0.4048,0.0406,10.03%
dependency_parsing_response_zh_zh_2.xml,0.6101,0.0347,5.69%,0.3899,0.0347,8.90%
dependency_parsing_response_zh_zh_3.xml,0.6535,0.0361,5.52%,0.3465,0.0361,10.42%
dependency_parsing_response_zh_zh_4.xml,0.6108,0.0393,6.43%,0.3892,0.0393,10.10%
dependency_parsing_response_zh_zh_5.xml,0.6228,0.0382,6.13%,0.3772,0.0382,10.13%
dependency_parsing_response_zh_zh_6.xml,0.5421,0.0401,7.40%,0.4579,0.0401,8.76%
dependency_parsing_response_zh_zh_7.xml,0.6592,0.0399,6.05%,0.3408,0.0399,11.70%
dependency_parsing_response_zh_zh_8.xml,0.6654,0.0370,5.56%,0.3346,0.0370,11.05%
dependency_parsing_response_zh_zh_9.xml,0.6642,0.0443,6.67%,0.3358,0.0443,13.18%
dependency_parsing_response_zh_zh_10.xml,0.6169,0.0436,7.06%,0.3831,0.0436,11.37%
